3,-30.599,-68.781,-124.667,5.803,16.84,156.119,142.168,-0.135,-230.221,-103.805,73.206,219.114,482.386,167.8,-229.628,-289.454,-135.803,-101.815,-387.043,-34.446,-399.455,266.278,236.024,260.748,-188.028,225.689,-1152.019,-588.615,-158.556,-1408.459
6,-63.242,-16.686,-176.246,-77.833,-337.688,149.127,58.277,-18.613,262.876,-51.743,-83.463,114.606,419.192,-236.952,-272.684,379.439,166.523,372.565,280.543,-96.216,-307.186,-128.866,-11.552,-274.103,877.401,689.575,387.836,89.475,-61.347,-1871.692
1,17.454,-72.878,-54.759,27.283,108.728,57.147,-3.571,-240.255,-36.212,4.249,-45.755,-59.287,53.908,224.654,-207.898,107.704,101.274,-159.385,-226.003,213.443,419.067,-66.522,-247.611,663.92,524.765,-180.275,24.019,-265.569,-985.68,-1356.379
5,343.774,58.973,-26.196,131.309,-97.015,81.289,180.377,-263.147,-24.688,95.504,-66.301,96.826,77.833,-165.972,385.07,-40.774,67.326,-38.665,-35.654,72.861,258.898,-407.417,-618.96,-100.167,-66.431,-744.32,-260.858,306.06,-156.668,-1421.033
6,-90.206,379.597,0.406,-78.05,333.054,136.327,-77.335,-29.035,-66.986,36.054,-260.847,-209.063,434.464,76.954,-296.45,205.453,-52.172,257.783,555.535,36.147,-40.871,-490.228,-138.904,207.405,401.523,768.728,643.503,284.42,427.731,-1954.998
2,106.633,97.348,-153.682,-113.715,-2.527,-57.57,252.633,-58.741,-297.869,-67.687,-112.706,299.192,-312.12,170.148,208.683,318.755,45.115,-240.226,387.74,-44.964,-161.32,-78.822,-74.906,-102.235,-479.878,370.596,-56.728,-748.778,-363.776,-1133.258
3,108.599,-25.442,68.798,-153.24,346.601,75.864,293.778,262.024,-159.754,-199.367,-158.08,-210.635,-241.556,259.77,-112.172,50.344,-140.587,-38.528,284.218,-45.594,125.853,77.72,476.179,-525.301,-242.559,223.026,-470.525,-908.106,3.469,-1678.691
5,-117.689,63.384,-32.199,-60.538,153.495,126.571,257.951,14.51,54.518,37.542,-28.437,-129.416,-200.51,37.548,335.273,-585.333,266.074,256.239,120.037,-17.196,-38.997,255.831,1.634,148.728,132.982,-761.98,391.271,-92.35,-270.953,-1231.13
8,-29.024,10.645,-235.912,58.21,-65.182,-186.358,45.263,231.008,151.541,-188.858,464.689,-32.818,343.603,-155.76,61.052,220.37,242.365,-132.148,315.682,-102.96,142.358,-370.471,-266.46,-266.901,-286.768,-44.881,166.962,-425.423,-795.676,-1995.404
4,24.73,-25.68,-14.483,30.326,187.616,-225.719,-47.307,-144.976,130.76,-421.885,131.217,76.736,17.636,-42.472,-55.54,-429.577,93.215,-180.342,356.935,351.927,-48.367,-26.822,-86.112,-296.19,147.741,-146.98,48.826,221.372,-549.341,-1131.707
3,112.47,158.036,29.677,-166.077,259.865,-247.214,-19.04,211.885,-42.239,201.105,-149.576,-180.693,-146.082,-42.919,76.494,128.84,-222.722,121.884,191.497,-351.278,513.099,-324.544,55.756,143.437,-203.706,-56.241,-817.712,-224.7,-485.332,-2155.517
8,84.09,-119.045,184.383,-137.941,-82.463,-74.32,-260.381,-341.413,-65.142,-106.555,-177.645,-249.488,-49.465,124.57,57.561,136.819,-115.783,51.914,124.369,0.176,74.612,-598.537,-443.979,-205.693,-286.436,27.196,-4.509,325.142,-416.098,-1647.333
6,-101.269,-7.286,363.496,305.517,-386.048,280.355,-425.863,-135.585,163.084,138.301,231.072,38.047,484.273,-395.246,88.023,133.552,429.152,230.237,660.352,158.047,-326.428,322.334,-285.727,416.217,369.134,769.93,86.397,87.317,578.36,-1731.468
2,-179.279,-358.262,-50.966,-192.975,251.152,-221.846,397.796,-13.573,117.405,56.909,64.568,4.589,318.718,-219.362,-268.642,-552.026,-203.902,159.023,-734.988,112.854,356.389,29.296,-419.634,-186.506,-224.788,262.483,467.546,131.893,411.486,-1507.954
1,-193.19,-38.067,-103.069,116.464,15.936,-153.058,89.131,-99.413,22.424,44.868,134.795,-20.043,3.485,-37.85,102.832,330.195,-316.459,167.633,182.98,-237.286,-111.088,432.763,-379.178,70.053,-432.612,87.373,442.236,-753.941,-805.281,-1125.825
4,46.206,-47.355,-179.873,-88.755,-44.044,-435.88,3.184,-153.771,-212.056,131.766,85.205,279.265,344.428,181.461,0.178,-65.757,46.852,-254.919,-299.628,-217.058,215.26,90.082,-128.651,5.943,835.424,20.872,86.266,325.935,-370.575,-1530.067
8,282.709,396.129,93.642,-13.942,60.08,21.058,28.009,-259.62,37.509,-219.465,82.913,-17.331,-278.287,253.103,113.321,-285.862,336.409,249.664,56.69,640.683,-80.511,93.293,112.65,93.478,91.285,651.265,-493.195,142.07,-118.183,-1311.777
1,31.592,-104.784,172.573,12.469,-137.74,-117.741,-34.084,-55.354,-104.384,-67.562,22.454,-120.471,-130.885,107.926,34.848,201.465,-202.6,-183.22,-35.325,196.61,329.22,-43.378,-37.996,559.049,401.433,-105.107,213.337,-574.874,-1081.604,-1773.193
2,-77.095,76.252,45.052,-40.381,-241.068,74.44,540.656,-132.757,237.372,-314.205,-291.504,-362.049,141.177,163.589,349.749,-148.25,-133.635,-389.123,-442.666,322.252,237.861,206.129,188.093,-382.498,-347.615,809.358,948.46,-55.948,749.752,-2086.878
